Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Die,@DThomasShelby,,,,1,36,https://x.com/DThomasShelby/status/1780916460421877871,https://x.com/DThomasShelby,"@VivamosVL  @soledadmartinez  buen día!!! Que está pasando con el servicio de luminarias????, hace 17 días vengo reclamando por 1 que no funciona y anoche se apagó el otro poste, la cuadra está re oscura, estamos regalados. Solo aumentan el impuesto parece!!!!.",Apr 18,2024-04-18T11:09:06.000Z
Martin F. Mazzeo,@MartinMazzeo,,,,,16,https://x.com/MartinMazzeo/status/1780913849937416203,https://x.com/MartinMazzeo,@VivamosVL la barrera de Laprida baja y el tren no pasa. Todo trabado. Siempre lo mismo,Apr 18,2024-04-18T10:58:44.000Z
Cynthia Rineckki,@cynplemente,,,1,1,16,https://x.com/cynplemente/status/1780742470722105726,https://x.com/cynplemente,@VivamosVL la calle Blas Parera del 500 al 300 está totalmente a oscuras! es una boca de lobo! se necesita urgente luminaria! casas edificios y geriátrico estamos a oscuras!!,Apr 17,2024-04-17T23:37:44.000Z
Lungui,@lungui10,,,,1,18,https://x.com/lungui10/status/1780739628837773746,https://x.com/lungui10,@VivamosVL vecinos de la calle Manuel Belzú al 2300 estamos sin luz en vía pública. Mantelectric tiene los números a los que se llamaba antes desafectados. ¿Alguien puede dar una solución ????....,Apr 17,2024-04-17T23:26:26.000Z
Paola,@rodripao1,,,,,16,https://x.com/rodripao1/status/1780606296212877685,https://x.com/rodripao1,Hola ! Sigo aguardando respuesta a mi mail! @VivamosVL @soledadmartinez,Apr 17,2024-04-17T14:36:37.000Z
VVG,@VVG03949267,"https://pbs.twimg.com/media/GLX6DmHWIAAFqZS?format=jpg&name=small, https://pbs.twimg.com/media/GLX6DmHWIAAFqZS?format=jpg&name=small",,,,8,https://x.com/VVG03949267/status/1780604176848003189,https://x.com/VVG03949267,"@VivamosVL sería conveniente que hagan mantenimiento de las farolas y luces de esta salida de la estación Vte López, es una boca de lobo, llena de basura y olores hediondos.",Apr 17,2024-04-17T14:28:12.000Z
Charly,@Baroncontable,,,,,7,https://x.com/Baroncontable/status/1780415328184328626,https://x.com/Baroncontable,Bajen los impuestos!!!,Apr 16,2024-04-17T01:57:47.000Z
Marian,@MarianoArdanza,,1,2,1,37,https://x.com/MarianoArdanza/status/1780315259749724294,https://x.com/MarianoArdanza,Arreglen la luminaria de debenedetti 1810!!!!! Dos meses a oscuras. Hagan algo basico! Poden arboles y arreglen luminarias! Esta abandonado el municipio. Como nunca antes!,Apr 16,2024-04-16T19:20:09.000Z
Lady Pau,@paulis2019,,,,,2,https://x.com/paulis2019/status/1779976565767406076,https://x.com/paulis2019,@VivamosVL @gcba PAREN DE PINTAR TODOS LOS CORDONES DE AMARILLO!!!! Dnd quieren que nos metamos los autos?? En el ort…!?!?!?,Apr 15,2024-04-15T20:54:18.000Z
Gonza!!,@gonzaeime,,,,,27,https://x.com/gonzaeime/status/1779866080837546323,https://x.com/gonzaeime,"@VivamosVL buen día, galpón de Pedidos Ya clausurado en Santa Rosa 3576 -Florida está siendo forzada la faja de clausura por gente del lugar y no hay nadie de Fiscalización y Control. Lo podrán chequear por favor! @soledadmartinez",Apr 15,2024-04-15T13:35:16.000Z
Monita,@monitahorda,,,,,7,https://x.com/monitahorda/status/1779287934568366233,https://x.com/monitahorda,Y para q está el teléfono de zoonosis?????,Apr 13,2024-04-13T23:17:55.000Z
Pochy Morondanga,@pochykrenz,https://pbs.twimg.com/media/GK_s87ZXwAExEjK?format=jpg&name=900x900,,,,12,https://x.com/pochykrenz/status/1778900912599142412,https://x.com/pochykrenz,"El lunes se los voy a recordar,  por acá no vino nadie parece ...",Apr 12,2024-04-12T21:40:02.000Z
Pochy Morondanga,@pochykrenz,"https://pbs.twimg.com/media/GK_s87ZXwAExEjK?format=jpg&name=900x900, https://pbs.twimg.com/media/GK_s87ZXwAExEjK?format=jpg&name=900x900",,,,12,https://x.com/pochykrenz/status/1778900912599142412,https://x.com/pochykrenz,"El lunes se los voy a recordar,  por acá no vino nadie parece ...",Apr 12,2024-04-12T21:40:02.000Z
#ChicaConOjosDeAyer #LaGrietaEsMoral,@Energiazonapura,"https://pbs.twimg.com/media/GKrSQL-XIAApbyA?format=jpg&name=900x900, https://pbs.twimg.com/media/GKrSQL-XIAApbyA?format=jpg&name=900x900",,,,5,https://x.com/Energiazonapura/status/1777895898007110001,https://x.com/Energiazonapura,@VivamosVL @elcampito @Proyecto4Patas,Apr 10,2024-04-10T03:06:28.000Z
Pochy Morondanga,@pochykrenz,,,,1,31,https://x.com/pochykrenz/status/1777824485195854067,https://x.com/pochykrenz,"De lunes a viernes de 8 a 16 trabajo en CABA y a que no sabes quien me atiende en el 147 ? Te atiende CABA , por acá aun no paso nadie, sigue igual.
Perdón por molestar",Apr 9,2024-04-09T22:22:42.000Z
JavoG,@JavoG63,,,,1,7,https://x.com/JavoG63/status/1777803385875407074,https://x.com/JavoG63,"@VivamosVL 
Un desastre comunicarse para que reparen la iluminación pública ! Llama uno al 147 opción 1 y atiende un contestador al cual no se le puede dejar mensajes:(",Apr 9,2024-04-09T20:58:51.000Z
Cintita Gta v,@cintita_v91280,,,,,6,https://x.com/cintita_v91280/status/1777364577279168847,https://x.com/cintita_v91280,"@VivamosVL será de
No tener luz y llamar a que reparen y no me lo arreglan !Mariano pelliza  3145",Apr 8,2024-04-08T15:55:11.000Z
Cintita Gta v,@cintita_v91280,,,,,4,https://x.com/cintita_v91280/status/1777364101502534022,https://x.com/cintita_v91280,@VivamosVL una ves más ! Llamando a reclamar la luz de mi cuadra tengo millones de reclamos ! Llamo y me dan número me atienden mal y me dicen que llame. A las 72 hs es joda !,Apr 8,2024-04-08T15:53:18.000Z
